[2021-09-07 10:32:45.650] [main] INFO  com.miniw.fesweb.FesWebApplication : Starting FesWebApplication using Java 1.8.0_221 on luoquandeMacBook-Pro.local with PID 16605 (/Users/blacker/IdeaProjects/mini-festival/fes-web/target/classes started by blacker in /Users/blacker/IdeaProjects/mini-festival)
[2021-09-07 11:01:59.975] [task-89] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:01:59 CST 2021, threadName - task-89正在执行柳仙儿预售发放礼包任务
[2021-09-07 11:01:59.975] [task-90] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:01:59 CST 2021, threadName - task-90正在执行月无双预售发放礼包任务
[2021-09-07 11:04:00.002] [task-93] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:04:00 CST 2021, threadName - task-93正在执行柳仙儿预售发放礼包任务
[2021-09-07 11:04:00.003] [task-94] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:04:00 CST 2021, threadName - task-94正在执行月无双预售发放礼包任务
[2021-09-07 11:06:00.007] [task-101] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:06:00 CST 2021, threadName - task-101正在执行月无双预售发放礼包任务
[2021-09-07 11:06:00.008] [task-102] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:06:00 CST 2021, threadName - task-102正在执行柳仙儿预售发放礼包任务
[2021-09-07 11:08:00.007] [task-108] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:08:00 CST 2021, threadName - task-108正在执行月无双预售发放礼包任务
[2021-09-07 11:08:00.006] [task-107] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:08:00 CST 2021, threadName - task-107正在执行柳仙儿预售发放礼包任务
[2021-09-07 11:10:00.005] [task-113] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:10:00 CST 2021, threadName - task-113正在执行月无双预售发放礼包任务
[2021-09-07 11:10:00.006] [task-114] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:10:00 CST 2021, threadName - task-114正在执行柳仙儿预售发放礼包任务
[2021-09-07 11:12:00.007] [task-120] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:12:00 CST 2021, threadName - task-120正在执行柳仙儿预售发放礼包任务
[2021-09-07 11:12:00.007] [task-119] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:12:00 CST 2021, threadName - task-119正在执行月无双预售发放礼包任务
[2021-09-07 11:14:00.005] [task-125] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:14:00 CST 2021, threadName - task-125正在执行柳仙儿预售发放礼包任务
[2021-09-07 11:14:00.005] [task-126] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:14:00 CST 2021, threadName - task-126正在执行月无双预售发放礼包任务
[2021-09-07 11:16:00.005] [task-131] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:16:00 CST 2021, threadName - task-131正在执行柳仙儿预售发放礼包任务
[2021-09-07 11:16:00.006] [task-132] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:16:00 CST 2021, threadName - task-132正在执行月无双预售发放礼包任务
